Date,Event Type,Number of Drivers,Demand,Inventory Level,Depot,Quantity Delivered,Distance from Depot (km),Number of Stations,Discounts
7/3/2023,Repair,1,4,5285434,Depot B,72,70,19,10
8/24/2023,Inspection,0,29,2068430,Depot A,59,91,20,17
5/4/2023,Repair,0,24,5087891,Depot B,87,61,20,19
1/2/2024,Repair,10,1,9404815,Depot B,99,95,6,8
12/11/2023,Maintenance,7,12,5522791,Depot B,24,3,13,19
5/7/2023,Repair,7,9,9053654,Depot B,28,37,3,4
6/30/2023,Repair,0,41,687139,Depot A,85,45,10,9
3/24/2023,Maintenance,9,15,4917661,Depot A,69,58,14,2
10/11/2023,Repair,6,46,8544163,Depot A,52,46,15,0
11/23/2023,Maintenance,10,48,3891326,Depot B,95,34,0,19
4/25/2023,Maintenance,8,30,4771630,Depot B,41,91,0,18
8/23/2023,Repair,1,7,2336571,Depot B,48,77,10,7
8/15/2023,Maintenance,8,38,7364904,Depot B,56,10,4,14
12/21/2023,Maintenance,6,42,6253838,Depot A,0,96,4,13
9/14/2023,Inspection,7,19,5261725,Depot A,65,30,18,5
5/29/2023,Inspection,8,23,4172504,Depot B,48,4,7,7
6/18/2023,Maintenance,3,24,6556790,Depot A,0,86,0,14
11/16/2023,Repair,5,11,3157015,Depot B,11,18,2,4
10/16/2023,Repair,6,10,1225731,Depot B,23,63,14,8
12/21/2023,Repair,1,17,5455041,Depot B,5,82,17,2
8/27/2023,Maintenance,4,38,986453,Depot B,65,69,12,4
9/22/2023,Inspection,2,18,7604212,Depot B,85,91,16,0
1/8/2024,Maintenance,5,1,6271069,Depot A,30,19,2,14
10/20/2023,Maintenance,0,45,9245720,Depot B,9,29,11,16
4/14/2023,Inspection,1,25,4400788,Depot B,68,33,4,9
11/26/2023,Repair,5,30,1795269,Depot B,22,10,0,13
5/10/2023,Maintenance,5,27,3206740,Depot B,56,87,20,3
10/13/2023,Repair,4,48,3785303,Depot B,66,79,0,16
7/25/2023,Inspection,9,23,320071,Depot B,85,53,12,17
10/21/2023,Repair,3,40,9095016,Depot A,68,20,5,11
4/19/2023,Maintenance,5,20,1854095,Depot B,16,49,8,18
12/29/2023,Inspection,8,50,3540731,Depot B,81,58,0,5
10/3/2023,Maintenance,9,12,9039219,Depot A,87,77,7,18
4/6/2023,Maintenance,8,50,4415728,Depot A,11,13,2,8
4/25/2023,Inspection,10,5,2765858,Depot B,93,44,8,0
11/25/2023,Inspection,9,11,3779158,Depot A,45,81,20,2
6/5/2023,Inspection,7,43,5839431,Depot A,98,5,14,18
11/25/2023,Maintenance,5,35,6095939,Depot A,84,25,4,20
5/2/2023,Repair,0,22,9388845,Depot A,97,95,14,3
7/15/2023,Inspection,10,8,2768945,Depot B,98,40,9,16
9/15/2023,Repair,4,28,4537916,Depot B,56,88,3,2
10/14/2023,Inspection,5,31,4162954,Depot B,81,32,5,11
2/24/2024,Inspection,5,41,2455937,Depot B,94,72,12,13
2/6/2024,Repair,8,28,5655303,Depot A,32,30,0,18
10/4/2023,Maintenance,9,21,5111448,Depot B,61,5,16,15
6/15/2023,Maintenance,9,17,6370509,Depot A,61,41,5,12
7/31/2023,Inspection,2,20,8429659,Depot B,84,55,9,1
6/10/2023,Maintenance,1,37,7720480,Depot B,13,98,6,3
6/27/2023,Inspection,4,10,9266208,Depot B,2,83,5,14
7/25/2023,Repair,7,6,9308944,Depot B,66,1,11,5
12/19/2023,Repair,8,45,3673856,Depot B,95,97,8,17
10/16/2023,Repair,7,32,278742,Depot A,66,71,5,13
1/14/2024,Inspection,3,26,9521800,Depot A,18,87,11,9
4/3/2023,Inspection,5,23,7790421,Depot A,26,89,7,2
5/29/2023,Maintenance,9,33,8124787,Depot B,82,84,7,0
11/13/2023,Maintenance,6,35,2597844,Depot A,18,64,13,16
9/14/2023,Inspection,7,21,2477569,Depot A,85,75,18,15
9/1/2023,Inspection,4,46,5118259,Depot A,1,25,19,4
5/22/2023,Inspection,4,18,3983865,Depot A,25,35,13,10
12/28/2023,Maintenance,8,27,7522990,Depot A,92,10,8,15
2/3/2024,Repair,10,3,807842,Depot A,64,66,16,8
10/19/2023,Repair,8,30,3573618,Depot B,96,100,18,20
9/7/2023,Maintenance,8,15,1565473,Depot B,81,13,13,5
10/26/2023,Maintenance,0,9,8632345,Depot A,57,74,5,0
2/10/2024,Repair,7,7,7265609,Depot B,33,98,20,2
2/19/2024,Inspection,6,7,3310614,Depot A,57,69,5,1
5/24/2023,Maintenance,9,40,5993851,Depot A,16,9,16,6
9/10/2023,Repair,3,49,8487994,Depot A,55,80,2,5
10/14/2023,Maintenance,9,9,2468246,Depot B,70,58,20,14
5/5/2023,Repair,5,40,2988770,Depot A,42,0,17,12
7/22/2023,Maintenance,7,18,5496948,Depot B,54,48,7,0
12/9/2023,Repair,7,10,7707340,Depot A,86,33,7,17
10/17/2023,Maintenance,6,33,9451372,Depot B,56,13,1,9
10/22/2023,Maintenance,0,0,2406508,Depot B,30,60,11,4
3/5/2023,Maintenance,1,31,770892,Depot A,86,73,2,10
7/2/2023,Inspection,10,6,8543993,Depot A,43,62,1,14
1/10/2024,Maintenance,5,6,7424084,Depot B,23,6,1,2
7/19/2023,Inspection,6,15,5519897,Depot B,0,81,19,16
3/18/2023,Inspection,4,38,8515575,Depot A,67,90,11,16
8/19/2023,Maintenance,0,21,9753091,Depot A,28,84,11,8
10/20/2023,Inspection,8,5,7203321,Depot B,52,3,13,1
3/29/2023,Repair,1,6,8428296,Depot A,22,72,7,9
6/20/2023,Maintenance,2,39,8329046,Depot A,17,61,12,14
7/26/2023,Maintenance,10,31,7321337,Depot A,91,84,17,7
10/11/2023,Maintenance,7,49,2062622,Depot A,21,90,19,0
7/6/2023,Inspection,1,0,8107950,Depot A,83,89,16,16
5/19/2023,Repair,4,37,7108997,Depot A,16,94,3,3
5/9/2023,Inspection,8,12,2467384,Depot B,48,49,13,10
6/16/2023,Inspection,5,6,8187157,Depot A,25,55,9,9
2/23/2024,Inspection,7,26,551652,Depot B,18,21,12,13
4/5/2023,Repair,0,15,7374662,Depot A,94,20,16,8
4/18/2023,Maintenance,8,12,4159550,Depot A,20,42,18,5
8/19/2023,Maintenance,8,28,8625104,Depot A,76,27,10,9
4/5/2023,Maintenance,6,13,6541917,Depot B,59,8,20,15
3/4/2023,Repair,4,26,7406167,Depot B,45,83,13,15
6/17/2023,Repair,8,3,9759434,Depot B,75,50,12,10
1/18/2024,Maintenance,7,4,3784722,Depot A,97,28,10,5
2/9/2024,Inspection,3,13,6549221,Depot A,64,22,2,2
7/29/2023,Repair,2,14,6103983,Depot B,8,12,2,8
7/19/2023,Repair,6,33,2237776,Depot B,77,30,18,12
9/14/2023,Repair,0,5,3476740,Depot B,1,94,11,15
4/5/2023,Inspection,10,16,8555080,Depot A,52,10,4,3
4/16/2023,Inspection,2,3,5732325,Depot A,28,92,7,10
2/15/2024,Inspection,7,14,720781,Depot B,62,16,13,2
9/15/2023,Repair,6,5,3430766,Depot A,41,45,2,19
5/12/2023,Repair,7,37,6146081,Depot A,87,8,7,15
1/14/2024,Inspection,4,13,1423338,Depot B,43,100,8,17
7/23/2023,Repair,10,12,2984485,Depot A,21,76,18,18
7/30/2023,Maintenance,0,33,1728286,Depot B,8,11,16,4
8/15/2023,Maintenance,0,1,1400481,Depot A,72,88,19,5
12/2/2023,Repair,1,47,3726776,Depot B,31,61,20,16
2/1/2024,Repair,10,32,6857942,Depot A,48,77,11,7
7/7/2023,Inspection,5,2,3444476,Depot A,38,70,5,20
7/2/2023,Repair,9,45,3977886,Depot A,23,61,12,16
5/3/2023,Repair,5,33,6016351,Depot B,95,93,1,8
5/18/2023,Maintenance,1,40,5166882,Depot A,61,10,17,13
1/19/2024,Inspection,1,7,5158376,Depot A,96,95,5,17
8/4/2023,Inspection,7,13,8085188,Depot B,94,21,14,1
12/10/2023,Repair,9,5,8610071,Depot A,65,0,17,15
4/15/2023,Repair,2,42,3734012,Depot B,89,43,7,8
1/5/2024,Maintenance,7,12,8211789,Depot A,7,91,6,15
5/30/2023,Inspection,10,43,9310777,Depot A,81,29,8,13
10/17/2023,Repair,6,22,5644099,Depot A,82,54,17,4
3/4/2023,Maintenance,5,11,560729,Depot B,64,27,17,3
10/10/2023,Inspection,5,9,3955138,Depot B,54,27,9,16
4/11/2023,Maintenance,7,45,1880593,Depot A,96,80,13,5
3/9/2023,Repair,1,36,8423883,Depot B,3,2,8,10
5/9/2023,Maintenance,8,9,5396274,Depot A,21,63,16,4
2/20/2024,Inspection,4,34,3627985,Depot A,48,41,19,10
10/2/2023,Maintenance,5,1,5812500,Depot A,80,57,2,0
12/16/2023,Repair,8,21,1841877,Depot A,16,44,18,16
2/27/2024,Inspection,6,8,9816987,Depot A,23,3,16,16
5/9/2023,Inspection,5,46,6731427,Depot A,9,34,17,17
2/6/2024,Inspection,8,23,8975303,Depot B,59,14,11,18
5/28/2023,Repair,4,20,6872552,Depot B,26,96,11,18
9/9/2023,Repair,9,0,958531,Depot A,90,11,9,13
12/30/2023,Inspection,6,33,3233461,Depot B,72,45,13,15
6/29/2023,Inspection,3,20,2572248,Depot B,82,82,9,17
8/11/2023,Inspection,1,6,4116349,Depot A,100,23,8,8
10/27/2023,Maintenance,4,12,2115822,Depot B,13,60,0,17
6/3/2023,Repair,5,5,2411840,Depot B,93,28,7,16
2/7/2024,Inspection,2,38,1472386,Depot B,28,5,3,11
2/14/2024,Maintenance,3,34,4606912,Depot B,46,61,5,0
4/16/2023,Repair,8,36,859946,Depot A,83,0,7,6
11/13/2023,Inspection,0,50,3467299,Depot B,63,42,10,12
2/10/2024,Inspection,7,30,4367433,Depot B,22,17,7,14
9/12/2023,Repair,7,14,9250157,Depot A,94,8,15,19
10/3/2023,Inspection,1,1,2439511,Depot B,54,100,12,15
12/30/2023,Maintenance,3,12,1364104,Depot A,84,70,17,10
3/14/2023,Inspection,8,31,9269065,Depot A,75,33,17,11
9/21/2023,Repair,10,10,7303418,Depot B,25,52,13,15
9/8/2023,Inspection,6,33,8530779,Depot B,92,53,1,16
9/9/2023,Repair,10,17,9009413,Depot B,99,60,11,18
8/26/2023,Inspection,2,15,7923494,Depot B,84,73,3,10
5/9/2023,Maintenance,5,11,4837511,Depot B,89,34,11,20
4/11/2023,Maintenance,3,29,8434060,Depot B,62,1,14,9
